AQI_Bucket,CO,City
Good,0.5736190074297581,23
Moderate,1.305481089018542,25
Poor,2.3006947364615664,22
Satisfactory,0.8064309620201944,26
Severe,18.69078203065625,13
Very Poor,3.381670487104596,20
