AQI_Bucket,NH3,City
Good,13.154154062896348,23
Moderate,24.628846006212783,25
Poor,27.21138407727003,22
Satisfactory,20.385436886078075,26
Severe,29.94456681843171,13
Very Poor,30.709736757541325,20
