month,AQI,City
1,219.73236135623353,25
2,197.28396311937556,25
3,165.00059344791921,26
4,146.83592807771868,26
5,139.59602250154595,26
6,127.88455800616575,26
7,120.8068712823388,26
8,123.30849150072848,21
9,125.00729401720953,23
10,184.95288531898413,23
11,232.62510181488747,23
12,218.41011453990666,23
